,,PARTE DE NOVEDADES 02/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
12.0,LRH491,COLOCAR PARAGOLPE TRACERO Y CAMBIAR PARABRISAS - REEMPLAZADO,,,,OPERATIVO,,2026-06-27 00:00:00,,,,,
14.0,AC880ST,REPARAR PALA - CITADO 11:30,,,,OPERATIVO,,,,,,,
,LVC293,SE REPARO LUCES,,,,OPERATIVO,,,,,,,
,AC880ST ,SE REPARO PALA,,,,OPERATIVO,,,,,,,
1.0,NUS780,REVISAR CERRADURA DE LA PUERTA - CITADO 10:00 HS,,,,OPERATIVO,,,,,,,
2.0,AB542MU,REPARAR PALA Y FRENOS - CITADO 10:00 HS,,,,OPERATIVO,,,,,,,
4.0,AF587YG,REPARAR PALA - CITADO 11:00 HS,,,,OPERATIVO,,,,,,,
5.0,MSK500,REPARAR LONA,,,,OPERATIVO,,,,,,,
6.0,LVC297,REVISAR LUCES - CITADO 11:30,,,,OPERATIVO,,,,,,,
7.0,AG504NC,REVISAR LUCES (OPERACION FCA),,,,OPERATIVO,,,,,,,
8.0,NUF969,REVISION PARA VTV,,,,OPERATIVO,,,,,,,,,,
,AB542MU,"SE REPARO PALA, SE CAMBIO CINTAS",,,,OPERATIVO,,,,,,,
,MYH379,"SE REPARO FURGON, SE CONTROLO LUCES",,,,OPERATIVO,,,,,,,
9.0,NWC197,REVISAR EMBRAGUE Y PALA - EN REPARTO,,,,OPERATIVO,,,,,,,
11.0,AF848GD,RUEDA PINCHADA - EN REPARTO,,,,OPERATIVO,,,,,,,
1.0,SKP105,LUCES - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
2.0,MLM206,SE ESTA REPARANDO CILINDRO DE PALA - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
3.0,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,,
4.0,IRG339,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,2026-07-02 00:00:00,,,,,
5.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
6.0,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
7.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
8.0,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,,,,,,
9.0,AG087SP,"PARAGOLPE DELANTERO, LUCES, LEVANTAVIDRIOS - REEMPLAZADO",,,,PENDIENTE,,,,,,,
10.0,IRG318,"REVISAR LUCES, DIRECCIÓN, FRENOS, SE ENVIO A ACEROS CIRO - REEMPLAZADO ",,,,PENDIENTE,,,,,,,
11.0,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,,,,,,
13.0,AF033CX,REVISION DE MOTOR - FALLA,,,,PENDIENTE,,,,,,,
3.0,NTL574,REVISION PARA VTV  ,,,,,,,,,,,
9.0,AC794PQ,REVISION PARA VTV,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,,
2.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,,
3.0,LRH492,"REPARAR PUERTAS DE FURGÓN, SE FILTRA AGUA Y REVISAR EMBRAGUE - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
4.0,IRG335,REPARAR FURGÓN - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
6.0,AF033CX,REVISAR PARA SUBIR A MINERA - OPERACION FCA,,,,PENDIENTE DE INGRESO,,,,,,,
7.0,AG372ME,NIVELAR PALA Y REVISAR BOCINA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
8.0,MLH644,REVISAR ELÁSTICOS TRASEROS Y BUJES DELANTEROS - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
10.0,AD702UW,AGREGAR LIQUID HIDRAULICO A LA PALA,,,,PENDIENTE DE INGRESO,,,,,,,
12.0,IOK295,REPARAR LIMPIAPARABRISAS  - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
13.0,AF069SE,"CONTROLAR FALLA,PEPARAR PARAGOLPE TRASERO Y LEVANTAVIDRIO - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,AD741ZO,REVISIÓN DE MOTOR (OPERACIÓN ARCOR) - EN TALLER DS,,,,TALLERES EXTERNOS,,,,,,,
2.0,HJG034,REVISIÓN DE MOTOR (OPERACIÓN FCA) EN TALLER DS,,,,TALLERES EXTERNOS,,,,,,,
3.0,AD998JM,FALLA (SE LIMITA)  - EN COLCAR,,,,TALLERES EXTERNOS,,,,,,,
4.0,AH680JQ,FALLA (SE LIMITA) - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:10:00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:07:00,,,,,
