,,PARTE DE NOVEDADES 27/6/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,Fecha Ingreso,Columna 10,Columna 11,Columna 12,Columna 13,Fecha  salida
1.0,HUT007,ACOMODAR INSTALACIÓN ELÉCTRICA,,,,PENDIENTE,,2026-06-18 00:00:00,,,,,
2,SKP105,LUCES - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
3,MLM206,CILINDRO DE PALA - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
4,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,,
5,IRG339,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,,
6,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,PENDIENTE,,2026-06-09 00:00:00,,,,,
7,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
8,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
9,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
10,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,,,,,,
11,IOK295,PALA Y LIMPIAPARABRISAS - LIBERADO,,,,PENDIENTE,,,,,,,
12,AG087SP,"PARAGOLPE DELANTERO, LUCES Y LEVANTAVIDRIOS - LIBERADO",,,,PENDIENTE,,,,,,,
#REF!,IRG318,"REVISAR LUCES, DIRECCIÓN, FRENOS, Y MANIJA DE PUERTA EXTERIOR NO ABRE - REEMPLAZADO",,,,PENDIENTE,,,,,,,
#REF!,JEG049,PALA (SE BAJA) Y REVISAR FALLA (SE APAGA) - REEMPLAZADO,,,,PENDIENTE,,,,,,,
#REF!,NKX990,REPARACION DE LONA,,,,OPERATIVO,,2026-06-27 00:00:00,,,,,2026-06-27 00:00:00
#REF!,IRG335,REPARAR FURGÓN - LIBERADO,,,,,,,,,,,
#REF!,NDE808,MOTOR  SE DEVE ENVIAR A DS,,,,PENDIENTE,,,,,,,
,PEG317,SE CAMBIO INYECTORES,,,,OPERATIVO,,2026-06-27 00:00:00,,,,,27/06/202666666666,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,,,,,
2.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,,
3.0,LRH492,"REPARAR PUERTAS DE FURGÓN, SE FILTRA AGUA Y REVISAR EMBRAGUE - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,AD741ZO,REVISIÓN DE MOTOR (OPERACIÓN ARCOR) - EN TALLER DS,,,,TALLERES EXTERNOS,,,,,,,
2,HJG034,REVISIÓN DE MOTOR (OPERACIÓN FCA) EN TALLER DS,,,,TALLERES EXTERNOS,,,,,,,
3,AD998JM,FALLA (SE LIMITA)  - EN COLCAR,,,,TALLERES EXTERNOS,,,,,,,
4,MLM209,CAMBIAR 4 HOJAS DE ELÁSTICO - EN ACEROS CIRO - LIBERADO,,,,TALLERES EXTERNOS,,,,,,,
5,AH680JQ,FALLA (SE LIMITA) - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:10:00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:07:00,,,,,
