,,PARTE DE NOVEDADES 13/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
1.0,IRG339,SE REALIZA CAMBIO DE AROS Y METALES - REEMPLAZADO,,,,PENDIENTE,,2026-07-02 00:00:00,,,,,
2,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
3,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
4,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
5,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,2026-07-07 00:00:00,,,,,
6,MYH381,REPARACION DE PISO Y FURGON,,,,PENDIENTE DE INGRESO,,,,,,,
7,IRZ953,REVISAR FALLA,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
8,OGQ099,CONTROLAR  INYECTORES,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
9,AD702UW,"REVISAR LUCES DELANTERAS, REPARAR TRABA COMBIS",,,,PENDIENTE,,2026-07-10 00:00:00,,,,,
10,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
11,AF948RW,REPARAR PALA,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
12,IRG318,REVISION PARA VTV,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
13,AD959RL,CONTROLAR PALANCA DE CAMBIOS,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
14,MHS457,REPARA LA DIRECCION,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
15,AF848GE,REVISAR PERNO DE PALA - CARGADO EN BASE,,,,OPERATIVO,,2026-07-13 00:00:00,,,,,
16,AG087ST,REVISAR EL TURBO,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
17,NTL576,"NO ARRANCA, REPARAR PUERTA, TAPA DE AGUA",,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
18,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
19,LWX063,"REVISAR LUCES, REPARAR GUARDABARRO ",,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
20,OQK433,REVISAR LUCES Y REPARAR PISO,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
21,AF069SA,REVISAR FALLA -SE DEBE ENVIAR A IVECAM,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
22,AG087SP,REVISION PARA VTV,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
23,IOK286,REVISAR CAJA DE DIRECCION - LIBERADO,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
24,OKR273,"REVISAR LUCES, PERDIDA DE GASOIL, REVISAR CUBIERTAS,REGULAR FRENOS - CITADO 11:30",,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
25,AG133JF,REVISAR PALA - CITADO 11:30,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
26,OJW761,REVISAR FALLA  - CITEDO 11:30,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,NTW678,REPARAR FURGON - LIBERADO,,,,PENDIENTE DE INGRESO,,,,,,,
2.0,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE DE INGRESO,,,,,,,
3.0,JEG049,REVISAR FALLA - FILTRACION DE AGUA EN LA CABINA ,,,,PENDIENTE DE INGRESO,,,,,,,
4.0,SOH165,REPARAR FURGON ,,,,PENDIENTE DE INGRESO,,,,,,,
5.0,LRH491,REPARAR FURGON ,,,,PENDIENTE DE INGRESO,,,,,,,
7.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,,
8.0,IRG335,REPARAR FURGÓN ,,,,PENDIENTE DE INGRESO,,,,,,,
9.0,AF069SE,"CONTROLAR FALLA,PEPARAR PARAGOLPE TRASERO Y LEVANTAVIDRIO - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
10.0,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE DE INGRESO,,,,,,,
11.0,MSK508,"SOLDAR PUERTA TRASERA,EJE NEUMATICO,LUCES, CAMBIAR CUBIERTAS- EN VOLTA",,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,AD998JM,FALLA (SE LIMITA)  - EN COLCAR,,,,TALLERES EXTERNOS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:10:00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:07:00,,,,,
