,,PARTE DE NOVEDADES 28/4/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGLIGENCIA,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,LVC297,REVISAR DIRECCIÓN - CITADO 11HS,,,,OPERATIVO,,,,,,
3.0,IOK288,LEVANTA TEMPERATURA - CITADO 11HS,,,,OPERATIVO,,,,,,
6.0,AB542MU,PALA SIN FUERZA - CARGADO,,,,OPERATIVO,,,,,,
7.0,OVD797,LEVANTA TEMPERATURA - CARGADO,,,,OPERATIVO,,,,,,
8.0,NUS780,FRENOS TRASEROS - DEBE REALIZAR VTV - REEMPLAZADO,,,,OPERATIVO,,,,,,
31.0,OXF 374,SE REPARO PUERTA DEL FURGON,,,,OPERATIVO,,,,,,
32.0,LQX 549,SE REPARO PERNO DE PALA,,,,OPERATIVO,,,,,,
33.0,IRG 335,SE COLOCO PULSADOR DE ARRANQUE,,,,OPERATIVO,,,,,,
34.0,AF 069 SC,SE REPARO LUCES Y NIVELO ACEITE,,,,OPERATIVO,,,,,,
35.0,AD702 UW,SE SOLDO PERNO DE PALA,,,,OPERATIVO,,,,,,
36.0,AF 975 OU,SE COLOCO PULMON DE FRENO TRASERO NUEVO,,,,OPERATIVO,,,,,,
37.0,AE 867 GD,SE CAMBIO CARBONES DE MOTOR DE PALA Y SE CONTROLO LUCES,,,,OPERATIVO,,,,,,
38.0,LWX 063,SE REPARO CABLE DE TRILER Y LUCES,,,,OPERATIVO,,,,,,
39.0,OHH 650,SE REPARO LUCES.,,,,OPERATIVO,,,,,,
40.0,AF 297 PQ,SE REPARO LUCES ALTAS Y BAJAS,,,,OPERATIVO,,,,,,
2.0,LVC293,INYECTOR Y PÉRDIDA DE AIRE - CITADO 11HS,,,,PENDIENTE,,,,,,
4.0,MLH643,SE ROMPIO BURRO DE ARRANQUE,,,,PENDIENTE,,,,,,
5.0,OKR273,CAJA DE DIRECCIÓN - CARGADO-REEMPLAZADO,,,,PENDIENTE,,,,,,
9.0,FVF276,REPARAR PISO - LIBERADO,,,,PENDIENTE,,,,,,
10.0,IRG339,SOPLÓ JUNTA DE TAPA DE CILINDROS - EN PROCESO,,,,PENDIENTE,,,,,,
11.0,SOH165,DIRECCIÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
12.0,AD741ZO,REVISIÓN DE MOTOR (OPERACIÓN ARCOR) - SE DEBE ENVIAR A IVECAM EE,,,,PENDIENTE,,,,,,
13.0,NTL576,REVISAR ELÁSTICOS - REEMPLAZADO,,,,PENDIENTE,,,,,,,,
14.0,PEG 324,LLEGO EL MOTOR,,,,PENDIENTE,,,,,,
15.0,CQD 623,SE ENVIO A RECTIFICADORA,,,,PENDIENTE,,,,,,
16.0,OGQ096,SE ESTA COLOCANDO CAJA,,,,PENDIENTE,,,,,,
17.0,LTJ 767,CAMBIAR FURGÓN (REEMPLAZADO),,,,PENDIENTE,,,,,,
18.0,FNS933,CAMBIAR BATERIAS,,,,PENDIENTE,,,,,,
19.0,MHS457,REPARAR INSTALACIÓN ELÉCTRICA DE LA FUSILERA - REEMPLAZADO,,,,PENDIENTE,,,,,,
20.0,JEG049,MANDAR A IVECAM,,,,PENDIENTE,,,,,,
21.0,AG372MF,EN PROCESO DE DESARME PARA ENVIAR A RECTIFICADORA. A LA ESPERA DE RECTIFICADORA,,,,PENDIENTE,,,,,,
22.0,NDE808,SE ENVIA A IVECAM,,,,PENDIENTE,,,,,,
23.0,LRH490,REPARACIONES GENERALES (OPERACIÓN NEWSAN),,,,PENDIENTE,,,,,,
24.0,AF590MQ,REVISIÓN PARA VTV (OPERACION FCA),,,,PENDIENTE,,,,,,
25.0,,,,,,,,,,,,
26.0,NTL 574,ARMADO DE MOTOR - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,,,,,
27.0,PGI661,REPARAR PISO (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
