,,PARTE DE NOVEDADES 28/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
2.0,KYM507,CAMBIAR CORREA POLI V - CARGADO,,,,OPERATIVO,,,,,,
3.0,HJG 034,REVISIÓN DE MOTOR (OPERACIÓN FCA) SE DEBE ENVIAR A DS,,,,OPERATIVO,,,,,,
5.0,NJC447,RUEDA PINCHADA Y REVISAR LUCES - SIGUE DE VIAJE,,,,OPERATIVO,,,,,,
6.0,AF833CX,BOMBA DE DIRECCIÓN (OPERACIÓN FCA),,,,OPERATIVO,,,,,,
9.0,AC880SX,INYECTORES - REEMPLAZADO,,,,OPERATIVO,,,,,,
6.0,AH680JT,CAMBIAR CACHA DE ESPEJO - EN REPARTO,,,,OPERATIVO,,,,,,
13.0,AG236CL,LUCES - EN REPARTO,,,,OPERATIVO,,,,,,
,,,,,,OPERATIVO,,,,,,
,PEG 317,SE SOLDO CUNA DE PLATOI,,,,OPERATIVO,,,,,,
,IOK 286,SE REPARARON BRAZO DE LIMPIA PARABRISAS,,,,OPERATIVO,,,,,,
,AH 387 QD,REPARACION DE LUES EN GENERAL,,,,OPERATIVO,,,,,,
,MLM 209 ,SE COLOCO PERNO DE PALA Y REPARO FLEXIBLE,,,,OPERATIVO,,,,,,
,AG 653 VA,"SE REALIZO SERVICE, SE REPARO CABLE DE TRILER",,,,OPERATIVO,,,,,,
,SOH 165,SE CAMBIO LA BATERIA,,,,OPERATIVO,,,,,,
1.0,IOK295,REVISAR FALLA (SIN FUERZA) Y GUÍA DE PALA - CITADO 9HS,,,,PENDIENTE,,,,,,
4.0,JEG049,REVISIÓN PARA VTV - REEMPLAZADO,,,,PENDIENTE,,,,,,
7.0,AE267NR,VACIAR CATALIZADOR (OPERACIÓN ECOMMERCE),,,,PENDIENTE,,,,,,
8.0,PGX013,REVISIÓN PARA VTV,,,,PENDIENTE,,,,,,
10.0,LRH490,REPARAR FURGÓN (OPERACIÓN NEWSAN),,,,PENDIENTE,,,,,,
11.0,IRG335,REPARAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
12.0,NTW678,CONTROLAR ELÁSTICOS Y REVISIÓN PARA VTV - REEMPLAZADO,,,,PENDIENTE,,,,,,
13.0,FVF276,REPARAR MANGUERAS DE AIRE E INSTALACION ELECTRICA- LIBERADO,,,,PENDIENTE,,,,,,
14.0,MLH643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
15.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,PENDIENTE,,,,,,
16.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
17.0,FNS933,CAMBIAR BATERIAS Y PUESTA EN MARCHA (OPERACIÓN FCA),,,,PENDIENTE,,,,,,
18.0,AG372MF,MOTOR - EN PROCESO DE ARMADO (OPERACIÓN ALSEA),,,,PENDIENTE,,,,,,
19.0,NTL574,ARMADO DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
20.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE,,,,,,
21.0,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
2.0,AF069SE,DEPÓSITO DE AGUA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
3.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
