,,PARTE DE NOVEDADES 4/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGLIGENCIA,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,AF069SE,MEZCLÓ AGUA EN ACEITE - CITADO 12HS,,,,CITADO,,,,,,
2.0,MHS457,"REGULAR FRENOS, REVISAR LUCES, ALARGUE Y PERNO DE PALA - CITADO 10HS",,,,CITADO,,,,,,
3.0,MLM206,"COMANDO DE PALA, ESPEJO Y REVISAR FRENOS - CARGADO - CITADO 12HS",,,,CITADO,,,,,,
4.0,MLH644,ARRANQUE - CARGADO - CITADO 12HS,,,,CITADO,,,,,,
5.0,IOK295,FALLA Y SE APAGA - CITADO 11HS,,,,CITADO,,,,,,
6.0,LRH492,CONTROLAR FALLA - CITADO 12HS,,,,CITADO,,,,,,
7.0,AF848GD,COMANDO Y AUTOMÁTICO DE PALA - CARGADO,,,,,,,,,,
8.0,LVC297,REVISAR LUCES Y FALLA (SIN FUERZA) - CARGADO,,,,,,,,,,
9.0,OGM 249,CONTROLAR CUBIERTAS (OPERACIÓN LA ANONIMA),,,,,,,,,,
10.0,MSK494,REVISAR PUERTAS DE BARANDA Y PATAS DE SEMI (OPERACIÓN FCA),,,,,,,,,,
11.0,AB665RO,TAPA DE CILINDRO - REEMPLAZADO,,,,,,,,,,
12.0,OKR273,SE ENVIO A REPARAR CAJA DE DIRECCIÓN - REEMPLAZADO,,,,,,,,,,
13.0,AB542MQ,CAMBIANDO JUNTA DE TAPA DE CILINDROS,,,,,,,,,,
14.0,PEG 324,MOTOR,,,,,,,,,,
15.0,FVF276,REPARAR PISO - LIBERADO,,,,,,,,,,
,,,,,,,,,,,,
1.0,MLH 643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,,,,,,,
2.0,HJG034,REVISIÓN DE MOTOR,,,,,,,,,,
3.0,SOH165,DIRECCIÓN - REEMPLAZADO,,,,,,,,,,
4.0,NTL576,REVISAR ELÁSTICOS - REEMPLAZADO,,,,,,,,,,
5.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,,,,,,,
6.0,LTJ 767,CAMBIAR FURGÓN (REEMPLAZADO),,,,,,,,,,
7.0,FNS933,CAMBIAR BATERIAS Y PUESTA EN MARCHA,,,,,,,,,,
8.0,AG372MF,MOTOR EN RECTIFICADORA,,,,A LA ESPERA DE REPUESTOS,,,,,,
