,,PARTE DE NOVEDADES 03/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
1.0,SKP105,LUCES - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
2,MLM206,SE ESTA REPARANDO CILINDRO DE PALA - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
3,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,,
4,IRG339,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,2026-07-02 00:00:00,,,,,
5,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
6,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
7,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
8,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,,,,,,
9,AG087SP,"PARAGOLPE DELANTERO, LUCES, LEVANTAVIDRIOS - REEMPLAZADO",,,,PENDIENTE,,,,,,,
10,IRG318,"REVISAR LUCES, DIRECCIÓN, FRENOS, SE ENVIO A ACEROS CIRO - REEMPLAZADO ",,,,PENDIENTE,,,,,,,
11,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,,,,,,
12,AF033CX,REVISION DE MOTOR - FALLA SE CAMBIA EL TURBO,,,,PENDIENTE,,,,,,,
13,NTL574,REVISION PARA VTV  ,,,,OPERATIVO,,,,,,,
14,AC794PQ,REVISION PARA VTV SE DEVE CANVIAR LA CAMA DEL PLPATO,,,,,,,,,,,
15,AF948RV,COLOCAR TECLA DE ALARGUE DE PALA ,,,,OPERATIVO,,,,,,,
16,LRH491,REVISAR DIRECCION - CITADO 11:00,,,,OPERATIVO,,,,,,,
17,OKR273,REVISAR DIRECCION - CITADO 09:00,,,,OPERATIVO,,,,,,,
,OGQ099,SE REPARO FALLA,,,,OPERATIVO,,,,,,,
,HJG034,EN REVICION PARA VTV,,,,PENDIENTE,,,,,,,
,,,,,,,,,,,,,
1.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,,
2.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,,
3.0,LRH492,"REPARAR PUERTAS DE FURGÓN, SE FILTRA AGUA Y REVISAR EMBRAGUE - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
4.0,IRG335,REPARAR FURGÓN - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
7.0,AG372ME,NIVELAR PALA Y REVISAR BOCINA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
8.0,MLH644,REVISAR ELÁSTICOS TRASEROS Y BUJES DELANTEROS - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
13.0,AF069SE,"CONTROLAR FALLA,PEPARAR PARAGOLPE TRASERO Y LEVANTAVIDRIO - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
14,NTL575,REVISAR ELASTICOS - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
15,MLM209,AGREGAR ACEITE - EN REPARTO,,,,OPERATIVO,,,,,,,
16,AG133JF,"REVISAR LEVANTAVIDRIOS, LUCES - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
17,IOK286,REVISAR DIRECCION - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
