,,PARTE DE NOVEDADES 6/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGLIGENCIA,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,LVC297,CONTROLAR FALLA (SIN FUERZA) - CITADO 11HS,,,,OPERATIVO,,,,,,
2.0,KPM586,CAMBIAR CUBIERTA - (OPERACIÓN LA ANONIMA) - CITADO 13HS,,,,OPERATIVO,,,,,,
3.0,LTJ766,REVISIÓN PARA VTV - CITADO 12HS,,,,OPERATIVO,,,,,,
4.0,AD959RL,ARRANQUE (OPERACIÓN ARCOR) - CITADO 9HS,,,,OPERATIVO,,,,,,
6.0,MLM209,NO ARRANCA - EN CD 514 - CARGADO,,,,OPERATIVO,,,,,,
7.0,AD019MN,REUBICAR PERNO (OPERACIÓN FCA),,,,OPERATIVO,,,,,,
8.0,AD959RK,LEVANTA TEMPERATURA (OPERACIÓN FCA),,,,OPERATIVO,,,,,,
9.0,AG372ME,CAMBIAR CUBIERTA - CARGADO,,,,OPERATIVO,,,,,,
10.0,OGM249,CONTROLAR CUBIERTAS (OPERACIÓN LA ANONIMA),,,,OPERATIVO,,,,,,
11.0,AB542MQ,CAMBIANDO JUNTA DE TAPA DE CILINDROS,,,,OPERATIVO,,,,,,
,OGM 249,"SE REPARO ARCOS, SE ENDEREZO PATA DEL SEMI, SE COLOCARON TUERCAS FALTANTES",,,,OPERATIVO,,,,,,
,IRG 335,SE SOLDO PARAGOLPE TRASERO,,,,OPERATIVO,,,,,,
,,,,,,OPERATIVO,,,,,,
,AD 247 HW,SE REPARO PERDIDA DE GASOIL,,,,OPERATIVO,,,,,,
,AD 019 MN,"SE CAMBIO POSICION DE PERNO DE ENGANCHE, SE CAMBIO MANGUERA RULO",,,,OPERATIVO,,,,,,
,LTJ 766,"SE CONTROLO PARA VTV, SE REPARO PULMON DE FRENO Y LUCES",,,,OPERATIVO,,,,,,
