,,PARTE DE NOVEDADES 14/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
1.0,IRG339,SE REALIZA CAMBIO DE AROS Y METALES - REEMPLAZADO,,,,PENDIENTE,,2026-07-02 00:00:00,,,,,
2,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
3,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
4,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
5,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,2026-07-07 00:00:00,,,,,
6,MYH381,REPARACION DE PISO Y FURGON,,,,PENDIENTE DE INGRESO,,,,,,,
7,IRZ953,REVISAR FALLA,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
8,OGQ099,CONTROLAR  INYECTORES,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
9,AD702UW,"REVISAR LUCES DELANTERAS, REPARAR TRABA COMBIS",,,,OPERATIVO,,2026-07-10 00:00:00,,,,,2026-07-14 00:00:00
10,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,
11.0,IRG318,REVISION PARA VTV,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
12.0,MHS457,REPAR LA DIRECCION,,,,OPERATIVO,,2026-07-13 00:00:00,,,,,2026-07-14 00:00:00
,AG296PS,SE CONTROLO LUCES ,,,,OPERATIVO,,2026-07-14 00:00:00,,,,,2026-07-14 00:00:00
14.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
15.0,AG087SS,PERDIDA DE ACEITE Y GUARDAR LA PALA BAJO CHASIS,,,,PENDIENTE,,2026-07-14 00:00:00,,,,,
16.0,AF069SA,REVISAR FALLA -SE DEBE ENVIAR A IVECAM,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
17.0,AG087SP,REVISION PARA VTV,,,,OPERATIVO,,2026-07-13 00:00:00,,,,,2026-07-14 00:00:00
18.0,IOK286,REVISAR CAJA DE DIRECCION - LIBERADO,,,,PENDIENTE,,2026-07-13 00:00:00,,,,,
