,,PARTE DE NOVEDADES 28/07/2026,NEGLIGENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,UNIDAD,NOVEDADES,Column 4,Column 5,Column 6,ESTADO,OBSERVACIONES,F-I,Column 10,Column 11,Column 12,Column 13,F-T,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,
26.0,AB612RD,CONTROLAR PERDIDA DE ACEITE DE PALA,,,,PEND,RESTA REPARAR CILINDRO,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
27.0,AF833CX,REVISAR FRENOS Y LUCES(OPERACION FCA SUBE A MINERA),,,,PEND,SIN NOVEDAD,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
28.0,MSK500,REVISAR FRENOS Y LUCES(OPERACION FCA SUBE A MINERA),,,,PEND,SIN NOVEDAD,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
29.0,,"CAMBIO DE CUBIERTAS DELANTERAS,REVISAR PERDIDA DE ACEITE (OPERACION FCA)",,,,PEND,,,,,,,,,,,,,,,,,,,,,,,,
30.0, NKX984,"REVISAR FRENO, CAMBIAR CUBIERTAS,REVISAR EJE NEUMATICO (OPERACION FCA)",,,,PEND,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,AH680JS ,"FALLA SE LIMPIO EL DEPOSITO DE UREA, CAMBIO EL FILTRO. SIGUE SIN FUERZA",,,,T EXT,A LA ESPERA DE NOVEDADES,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2.0,MHS457,REVISAR FURGON (CRUZADO) - SE ENVIA AL ELASTIQUERO - A LA ESPERA DE PRESUPUESTO,,,,T EXT,A LA ESPERA DE DESICION,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
3.0,AG227UA,MOTOR EN REVISION. SE DEBE ENVIAR A DS ,,,,T EXT,SE ENVIA A DS 28/7,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
4.0,AG372ME,ELASTICO TRASERO ROTO (HOJA MAESTRA),,,,T EXT,,,,,,,,,,,,,,,,,,,,,,,,
5.0,AG296PS,ELASTICO TRASERO ROTO (HOJA MAESTRA),,,,T EXT,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AF069SA,FALLA SE LLEVO POR GARANTIA (IVECAM SM),,,,T EXT,,2026-07-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,
7.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,ESP RES,MAÑANA SE RETIRA MOTOR 29/7,2026-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,MLM209,SE PARO POR CONSUMO DE ACEITE. REVICION DE MOTOR,,,,PEND  ING,,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2.0,IRG318,REVISAR CAJA DE CAMBIOS (NO FUNCIONA LA MARCHA ATRAS) ,,,,PEND  ING,HAY QUE DESARMAR LA CAJA,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
3.0,AF069SE,REALIZAR SERVICIO COMPLETO,,,,PEND  ING,CAMION NO SE PRESENTO,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
4.0,OGQ096,REVICION PARA VTV,,,,PEND  ING,CAMION NO SE PRESENTO,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
5.0,FVF276,REVICION PARA VTV,,,,PEND  ING,CAMION NO SE PRESENTO,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
