,,PARTE DE NOVEDADES 12/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
2.0,NUS780,REPARAR ESPEJO Y PUERTA LADO CHOFER (NO CIERRA) - CITADO 10HS,,,,OPERATIVO,,,,,,
3.0,AF187HE,SE CAMBIARON CINTAS DE FRENO,,,,OPERATIVO,,,,,,
4.0,MLM206,PALA (SE PIVOTEA) Y REVISAR LUCES - CARGADO,,,,OPERATIVO,,,,,,
5.0,IRG339,MAÑANA SE ENVIA A COPACABANA,,,,OPERATIVO,,,,,,
6.0,AI077AK,REUBICAR PERNO - SE DEBE LLEVAR UNIDA A TK CAPELLO,,,,OPERATIVO,,,,,,
7.0,AI077AL,REUBICAR PERNO - SE DEBE LLEVAR UNIDA A TK CAPELLO,,,,OPERATIVO,,,,,,
9.0,PGI663,LISTO PARA REVISACION DE VTV,,,,OPERATIVO,X,,,,,
11.0,LRH491,MODIFICAR GANCHOS DE PALA - CARGADO,,,,OPERATIVO,,,,,,
12.0,OGM249,SOLDAR GANCHOS PARA POLLERA (OPERACIÓN LA ANONIMA),,,,OPERATIVO,,,,,,
33.0,MHS 457,SE REGULO FRENOSY SE CAMBIO ACEITE,,,,OPERATIVO,,,,,,
34.0,AD 998 JL,SE CAMBIO CAJA REGULADORA Y REGULO FRENOS,,,,OPERATIVO,,,,,,
35.0,AF 975 OU,SE CAMBIO CORREA DE EQUIPO DE FRIO,,,,OPERATIVO,,,,,,
36.0,AH 387 FZ,"SE CAMBIO VIDRIO DE OPTICA IZQ, SE REPARO SPOILER Y CAMBIO ESCOBILLAS",,,,OPERATIVO,,,,,,
37.0,MLH 644,"SE REPARO ELASTICO DELANTERO IZQ, SE CAMBIO PASTILLA DE FRENO",,,,OPERATIVO,X,,,,,
38.0,MLM 206,SE CAMBIO PASTILLA DE FRENO,,,,OPERATIVO,,,,,,
39.0,NTW 678,SE  REPARO INSTALACION ELECTRICA,,,,OPERATIVO,,,,,,
40.0,AF 658 QV,SE REPARO ENCENDEDOR,,,,OPERATIVO,,,,,,
41.0,AG 296 PP,SE REPARO LUCES,,,,OPERATIVO,,,,,,
42.0,AF 848 GD, SE REPARO LUZ DE GIRO Y BAJAS,,,,OPERATIVO,,,,,,
43.0,PBP 154,SE REPARO PISO,,,,OPERATIVO,,,,,,
44.0,NXO 178,SE CAMBIO VEJIGA DEEJE NEUMATICO,,,,OPERATIVO,,,,,,
45.0,NTL 575,SE REPARO PUERTA LADO CHOFER,,,,OPERATIVO,,,,,,
46.0,AF 848 GE,SE CAMBIO PERNO DE PALA,,,,OPERATIVO,,,,,,
47.0,AG 296 PW,RUEDA PINCHADA,,,,OPERATIVO,,,,,,
1.0,AF069SE,VENTILETE - CITADO 11HS,,,,PENDIENTE,,,,,,
8.0,IOK286,MAÑANA VIENEN A REPARAR LA CAÑONERA,,,,PENDIENTE,,,,,,
10.0,IOK288,ELÁSTICOS DELANTEROS - REEMPLAZADO,,,,PENDIENTE,X,,,,,
13.0,NTL576,A LAESPERA DE RESPUESTO PARA EL DIA 12/5,,,,PENDIENTE,,,,,,
14.0,FVF276,REPARAR PISO - LIBERADO,,,,PENDIENTE,,,,,,
15.0,LRH490,REPARACIONES GENERALES (OPERACIÓN NEWSAN),,,,PENDIENTE,,,,,,
16.0,SOH165,PERNO Y BUJE - SE DESARMO LA PUNTA DE EJE,,,,PENDIENTE,,,,,,
17.0,MLH 643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE DE INGRESO,X,,,,,
18.0,HJG034,REVISIÓN DE MOTOR - EN REPARACION DE PUNTERA Y CAPOT,,,,PENDIENTE,X,,,,,
19.0,OKR273,"SE ENVIO A REPARAR CAJA DE DIRECCIÓN - SE ENVIO A REPARAR LA CAJA DE DIRECCION, A LA ESPERA DE PAGO",,,,PENDIENTE,,,,,,
20.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,PENDIENTE,,,,,,
21.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
22.0,FNS933,"SE TRAJO A BASE TT, RESTA REPARAR ACELERADOR",,,,PENDIENTE,,,,,,
23.0,AG372MF,MOTOR EN RECTIFICADORA (OPERACIÓN ALSEA),,,,A LA ESPERA DE REPUESTOS,X,,,,,
24.0,NTL574,ARMADO DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
25.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,
26.0,NJI 342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
27.0,PEG 324,MOTOR (OPERACIÓN ARCOR),,,,PENDIENTE DE INGRESO,,,,,,
28.0,IRZ 953,"FALLA ELECTRICA, EN IVECAM ESTEBAN ECHEVERRIA - REEMPLAZADO",,,,TALLERES EXTERNOS,,,,,,
29.0,AG 087 SP,EN TALLER DOCK SUD CAMBIO DE CABINA (OPERACIÓN ALSEA),,,,TALLERES EXTERNOS,X,,,,,
30.0,AD741ZO,REVISIÓN DE MOTOR (OPERACIÓN ARCOR) - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,X,,,,,
31.0,JEG049,FALLA ELÉCTRICA - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,,,,,,
32.0,NDE808,MOTOR - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,X,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,12:10:00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,12:07:00,,,,
