FECHA,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGLIGENCIA,Hora Final,Columna 10,Columna 11,Columna 12,Columna 13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025-03-19 00:00:00,MKC 780,REVISIÓN DE MOTOR,,,,,,,,,,
,EDE 103,ARMAR PULMÓN DE FRENO Y REVISIÓN PARA VTV,,,,,,,,,,
,IOK 286,REVISIÓN DE MOTOR. UNIDAD REEMPLAZADA,,,,,,,,,,
,NUS 780,COLOCAR BOMBA DE GASOIL. UNIDAD REEMPLAZADA,,,,,,,,,,
,MLM 209,NO ARRANCA,,,,,,,,,,
,AB 665 RR,CAMBIAR INYECTORES,,,,,,,,,,
,PGX 013,REVISAR FALLA ELÉCTRICA,,,,,,,,,,
,NTB 607 (REFINOR),COLOCAR CARDAN Y ACCESORIOS,,,,,,,,,,
,OGI 195,EMBRAGUE,,,,,,,,,,
,OQK 433,DEBE REALIZAR VTV,CANULLI MARIO,,CAMBIÓ CINTAS DE FRENO DE RUEDA DEL PRIMER EJE DERECHO. REALIZÓ VTV,,11:55:00,,,,,
,JEG 049,DEBE REALIZAR VTV.,"CANULLI MARIO, JUAREZ PABLO",,CAMBIO DE BARRA CORTA Y BUJE DE BARRA. REPARACIÓN DE PARAGOLPES,,,,,,,
,NTW 678,PROBLEMA DE PALA. ,GEREZ HERNÁN,,CAMBIÓ INSTALACIÓN DE LA CAJA DE COMANDO DE PALA,,14:30:00,,,,,
,NTL 574,CONTROLAR CAJA. CARGADO,,,,,,,,,,
,MLH 644,CONTROLAR ALTERNADOR. CARGADO,"GEREZ HERNÁN, FERNANDEZ EDGARDO",,SE CONTROLÓ ALTERNADOR Y PALA,,,,,,,
,MSK 494,REVISIÓN PARA VTV,FERNANDEZ EDGARDO,,CAMBIÓ FAROS TRASEROS,,12:28:00,,,,,
,LTJ 766,REPARAR LUCES,FERNANDEZ EDGARDO,,SE REPARARON LUCES GENERALES,,,,,,,
,AG 087 SP,ARREGLAR LUCES,FERNANDEZ EDGARDO,,SE REPARARON LUCES BAJAS Y TRASERAS DE POSICIÓN,,,,,,,
,IRG 335,PISO DEL FURGÓN. PUENTE DE PALA,"JUAREZ PABLO, VALDEZ FERNANDO",,REPARANDO PISO DEL FURGÓN Y COLOCANDO PUENTE DE FURGÓN-PALA,,,,,,,
,NDZ 891 (BURZACO),REVISAR FRENO EN SEMI,"CANULLI MARIO, TORTORELLA RICARDO, GEREZ HERNÁN",,"SE CAMBIÓ ALTERNADOR. CAMBIÓ MANGUERA DE AIRE, REPARÓ SERVOEMBRAGUE, REPARÓ PULMÓN DE FRENO Y REGULÓ EMBRAGUE",,,,,,,
,NTL 575,NO ARRANCA,"TORTORELLA RICARDO, FERNANDEZ EDGARDO",,SE SOLUCIONÓ PROBLEMA DE ARRANQUE,,,,,,,
,,,,,,,,,,,,
2025-03-20 00:00:00,MKC 780,REVISIÓN DE MOTOR,,,,,,,,,,
,EDE 103,ARMAR PULMÓN DE FRENO Y REVISIÓN PARA VTV,,,,,,,,,,
,IOK 286,REVISIÓN DE MOTOR. UNIDAD REEMPLAZADA,,,,,,,,,,
,MLM 209,NO ARRANCA,,,,,,,,,,
,NUS 780,COLOCAR BOMBA DE GASOIL. UNIDAD REEMPLAZADA,,,,,,,,,,
,AB 665 RR,CAMBIAR INYECTORES,,,,,,,,,,
,PGX 013,REVISAR FALLA ELÉCTRICA,,,,,,,,,,
,NTB 607 (REFINOR),COLOCAR CARDAN Y ACCESORIOS,,,,,,,,,,
,OGI 195,EMBRAGUE,,,,,,,,,,
,NJC 447,REVISAR CAJA Y PULMÓN DE FRENO,,,,,,,,,,
,MLM 206,CAMBIAR CUBIERTA. CARGADO,,,CAMBIÓ CUBIERTA. ,,,,,,,
,AD 998 JM,CONTROLAR ESCAPE Y FLUIDOS. SIGUE DE VIAJE,,,,,,,,,,
,FIC 582,CONTROLAR FLUIDOS. CARGADO,,,SE NIVELARON FLUIDOS,,,,,,,
,AB 612 RD,LUCES Y ALARGUE DE PALA. SIGUE DE VIAJE,GEREZ HERNÁN,,CAMBIÓ EL ALARGUE DE PALA,,,,,,,
,AB 542 MU,FARO TRASERO ROTO. SIGUE DE VIAJE,"FERNANDEZ EDGARDO, GEREZ HERNÁN",,CAMBIANDO FAROS TRASEROS Y LÁMPARAS. SE REPARÓ PÉRDIDA POR CILINDRO DE PALA,,09:34:00,,,,,
,AE 267 NP,CAMBIAR TENSOR Y CORREA. (OPERACIÓN E-COMMERCE),GEREZ HERNÁN,,CAMBIÓ CORREA Y TENSOR,,10:01:00,,,,,
,AD 247 HV,REPARAR ALTERNADOR Y COLOCAR CORREA. (OPERACIÓN E-COMMERCE),,,,,,,,,,
,NTL 574,CERRADURA DE PUERTA ROTA,JUAREZ PABLO,,CAMBIÓ CERRADURA EXTERNA DERECHA,,08:55:00,,,,,
,JEG 049,ALARGUE DE PALA,GEREZ HERNÁN,,CAMBIÓ EL ALARGUE DE PALA,,,,,,,
,NDE 808,PROBLEMA EN MOTOR DE PALA,,,SE REPARÓ MOTOR DE PALA,,,,,,,
,MLH 644,ALARGUE DE PALA,GEREZ HERNÁN,,REPARÓ ALARGUE DE PALA,,,,,,,
,AE 939 YF,CHOCADO EN PARTE TRASERA ,"VALDEZ FERNANDO, JUAREZ PABLO, RAMÍREZ PABLO",,SE REPARÓ LATERAL TRASERO IZQUIERDO POR CHOQUE. SE SOLDARON CHAPAS AL PUENTE DE PALA. SE SOLDÓ MANIJA DE PUERTA TRASERA. SE COLOCÓ TUERCA DE RUEDA,,,,,,,
,AF 975 OQ,SOPORTE DE BATERÍA FLOJO,"JUAREZ PABLO, VALDEZ FERNANDO",,SE REPARÓ SOPORTE DE BATERÍA. ,,,,,,,
,,,,,,,,,,,,
2025-03-21 00:00:00,MLH 644,NO ARRANCA. CITADO 9HS,,,,,,,,,,
,LVC 293,CONTROLAR PALA. CITADO 10HS,,,,,,,,,,
,LTJ 767,CONTROLAR CUBIERTAS. CITADO 10HS,,,,,,,,,,
,AF 069 SA,CAMBIAR COMANDO DE PALANCA DE CAMBIOS Y LUCES. CITADO 11HS,,,CAMBIANDO PALANCA DE CAMBIOS,,,,,,,
,OGQ 096,CONTROLAR FILTRO DE GASOIL Y REGULAR FRENOS. CITADO 12HS,,,,,,,,,,
,IRZ 953,CAMBIAR CUBIERTA. CITADO 18HS,,,,,,,,,,
,MKC 780,REVISIÓN DE MOTOR,,,,,,,,,,
,EDE 103,ARMAR PULMÓN DE FRENO Y REVISIÓN PARA VTV,,,,,,,,,,
,IOK 286,REVISIÓN DE MOTOR. UNIDAD REEMPLAZADA,,,,,,,,,,
,MLM 209,NO ARRANCA,,,,,,,,,,
,NUS 780,COLOCAR BOMBA DE GASOIL. UNIDAD REEMPLAZADA,,,,,,,,,,
,NJC 447,REPARAR CAJA Y PULMÓN DE FRENO,,,,,,,,,,
,PGX 013,REVISAR FALLA ELÉCTRICA,,,,,,,,,,
,AB 665 RR,CAMBIAR INYECTORES,,,,,,,,,,
,NTB 607 (REFINOR),COLOCAR CARDAN Y ACCESORIOS,,,,,,,,,,
,OGI 195,EMBRAGUE,,,,,,,,,,
,FNS 933,REVISIÓN PARA VTV,,,,,,,,,,
,HUT 007,VÁLVULA DISTRIBUIDORA,,,,,,,,,,
,AD 247 HV,REPARAR ALTERNADOR Y COLOCAR CORREA. (OPERACIÓN E-COMMERCE),,,SE LE CAMBIÓ CERRADURA DE PUERTA TRASERA INFERIOR,,,,,,,
,IRG 318,MOTOR EN TALLER VW. UNIDAD REEMPLAZADA,,,,,,,,,,
,AE 307 GO,PUERTA LATERAL TRABADA,JUAREZ PABLO,,REPARÓ GUÍA DE PUERTA LATERAL SUPERIOR Y CAMBIÓ LA GUÍA INFERIOR DE LA MISMA PUERTA,,,,,,,
,NDE 808,CAMBIAR ESCOBILLAS. RETÉN DE MAZA TRASERA,"JUAREZ PABLO, CANULLI MARIO",,CAMBIANDO RETÉN DE MAZA TRASERA. CAMBIÓ ESCOBILLAS Y ACOPLES DE LAS MISMAS.,,,,,,,
,OKR 273,PÉRDIDA DE ACEITE,,,SE REPARÓ MANGUERA DE PIVOTEO,,,,,,,
,NTW 678,REPARAR ALTERNADOR,FERNANDEZ EDGARDO,,SE REPARÓ ALTERNADOR,,,,,,,
,LRH 491,TIRADO EN BERNAL. ESPERANDO AUXILIO,,,,,,,,,,
,,,,,,,,,,,,
2025-03-26 00:00:00,AB 665 RP,NO ABREN LAS PUERTAS DE CABINA. CITADO 08HS,,,,,,,,,,
,PGI 662,LUCES. CITADO 08HS,,,,,,,,,,
,OQK 433,REVISAR PULMÓN LADO DERECHO. CITADO 10HS,,,,,,,,,,
,AE 867 GD,REVISAR FALLA ELÉCTRICA. CITADO 11HS,,,,,,,,,,
,NDE 808,NO ARRANCA. REVISAR FALLA (NO ARRANCA). CITADO 11HS,,,,,,,,,,
,MKC 780,REVISIÓN DE MOTOR,,,,,,,,,,
,EDE 103,ARMAR PULMÓN DE FRENO Y REVISIÓN PARA VTV,,,,,,,,,,
,IOK 286,REVISIÓN DE MOTOR. UNIDAD REEMPLAZADA,,,,,,,,,,
,MLM 209,NO ARRANCA,,,,,,,,,,
,NUS 780,COLOCAR BOMBA DE GASOIL,,,,,,,,,,
,NTW 678,REVISAR ALTERNADOR. CARGADO,GEREZ HERNÁN,,"SE COLOCÓ ALTERNADOR NUEVO, SE CAMBIÓ BORNE DE BATERÍA, SE CAMBIÓ BATERÍA Y PUESTA EN MARCHA",,,,,,,
,OGI 195,EMBRAGUE,,,,,,,,,,
,FNS 933,REVISIÓN PARA VTV,,,,,,,,,,
,PGX 013,REVISAR FALLA ELÉCTRICA,,,,,,,,,,
,AB 665 RR,CAMBIAR INYECTORES,,,,,,,,,,
,MSK 494,CONTROLAR PERNO,,,,,,,,,,
,CAE 041,CONTROLAR LUCES PARA VTV,,,,,,,,,,
,AF 364 TD,REVISAR CUBIERTAS Y PÉRDIDA DE AIRE,,,,,,,,,,
,AG 449 BA,REPARAR ARCOS,,,,,,,,,,
,AF 833 CZ,REVISIÓN PARA VTV,,,,,,,,,,
,AG 504 NC,REVISAR CUBIERTAS Y AJUSTAR TAPA DE EQUIPO DE FRÍO,,,,,,,,,,
,AD 741 ZO,REVISAR EMBRAGUE. ESPERANDO AUXILIO EN MORÓN,,,YENDO A BUSCARLO PARA TRAERLO DE TIRO,,,,,,,
,NTB 607 (REFINOR),COLOCAR CARDAN Y ACCESORIOS,,,COLOCANDO CARDAN,,,,,,,
,PPZ 741,"CAMBIAR MANGA DE CAÑONERA, PALIER, MAZA, RULEMANES Y DISCO (OPERACIÓN E-COMMERCE)",,,"SE CAMBIÓ MANGA DE CAÑONERA. COLOCACIÓN DE PALIER, MAZA, RULEMÁN Y DISCO",,,,,,,
,LRH 492,ALARGUE DE PALA,GEREZ HERNÁN,,SE CAMBIÓ TECLA DE PALA AL ALARGUE,,,,,,,
,LTJ 767,PROBLEMA EN PALA,GEREZ HERNÁN,,CAMBIO DE ACOPLE DE HIDRÁULICO,,,,,,,
,AG 236 CL,COMANDO DE PALA,GEREZ HERNÁN,,SE CAMBIÓ CAJA DEL COMANDO DE PALA,,,,,,,
,AF 658 QW,JOYSTICK DE PALA,,,SE REPARÓ JOYSTICK DE PALA,,,,,,,
,,,,,,,,,,,,
2025-03-27 00:00:00,CQD 623,PULMÓN DE FRENO. CITADO 9HS.,,,,,,,,,,
,IRG 339,NIVELAR PALA Y REPARAR PUERTA. CITADO 9HS.,,,SE NIVELÓ PALA Y SE REPARÓ PUERTA DERECHA DEL FURGÓN,,,,,,,
,OQK 433,REVISAR MOTOR DE PALA. CITADO 9HS.,GEREZ HERNÁN,,REPARÓ MOTOR DE PALA,,,,,,,
,NTW 678,REVISAR PIVOTEO DE PALA. CITADO 11HS.,GEREZ HERNÁN,,CAMBIÓ CABLE DE BATERÍA,,,,,,,
,IRZ 953,CAMBIAR BUJE DE CAJA. CITADO 10HS.,CANULLI MARIO,,SE CAMBIÓ BUJE DE LA PALANCA DE CAMBIOS. SE COLOCARON ACOPLES RÁPIDO,,,,,,,
,IOK 295,NO ARRANCA Y SE CORTÓ ESLABON DE PALA. CARGADO EN CD 504.,,,"AUXILIANDO, SE LLEVA BURRO DE ARRANQUE",,,,,,,
,KZZ 174,NO ARRANCA. CITADO 11HS.,,,,,,,,,,
,MKC 780,REVISIÓN DE MOTOR.,,,,,,,,,,
,EDE 103,ARMAR PULMÓN DE FRENO Y REVISIÓN PARA VTV.,,,,,,,,,,
,IOK 286,REVISIÓN DE MOTOR. UNIDAD REEMPLAZADA.,,,,,,,,,,
,MLM 209,NO ARRANCA.,,,,,,,,,,
,NUS 780,COLOCAR BOMBA DE GASOIL. UNIDAD REEMPLAZADA.,,,,,,,,,,
,AE 867 GD,CAMBIAR SALIDA DE FRENO DE MOTOR.,,,,,,,,,,
,NTL 574,ALARGUE DE PALA. CARGADO.,,,,,,,,,,
,LRH 492,NO ARRANCA. CARGADO EN PANAM Y 197.,,,,,,,,,,
,AD 702 UW,BOMBA DE AGUA. CARGADO EN MADARIAGA.,,,,,,,,,,
,AB 542 MU,CAMBIAR CORREA POLI-V. CARGADO EN MONTE CASEROS.,,,,,,,,,,
,AB 665 RR,CAMBIAR INYECTORES.,,,,,,,,,,
,AG 449 BA,REVISAR PERDIDA DE AIRE. CARGADO.,,,,,,,,,,
,AD 741 ZO,REVISAR EMBRAGUE. ESPERANDO AUXILIO EN MORON.,,,,,,,,,,
,NTB 607 (REFINOR),COLOCAR CARDAN Y ACCESORIOS.,,,,,,,,,,
,OGI 195,EMBRAGUE.,,,,,,,,,,
,FNS 933,DEBE REALIZAR VTV.,,,,,,,,,,
,PPZ 741,"CAMBIAR MANGA DE CAÑONERA, PALIER, MAZA, RULEMANES Y DISCO. (OPERACIÓN ECOMMERCE)",,,,,,,,,,
,OHH 650,NO FUNCIONA LUZ DERECHA. CARGADO,,,SE REPARÓ CORTO EN ÓPTICA DERECHA,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
