,,PARTE DE NOVEDADES 23/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,AF948RW,REVISIÓN PARA VTV - LIBERADO,,,,OPERATIVO,,,,,,
4.0,NJC447,RUEDA PINCHADA - SIGUE DE VIAJE,,,,OPERATIVO,,,,,,
6.0,HUT007,LUCES,,,,OPERATIVO,,,,,,
8.0,AD247HW,"REVISAR FRENOS, BATERIAS Y CAMBIAR TAMBOR DE ARRANQUE (OPERACIÓN ECOMMERCE)",,,,OPERATIVO,,,,,,
10.0,AG087SS,CAMBIAR RADIADOR DE ACEITE (OPERACIÓN ALSEA) Y DEPOSITO DE AGUA,,,,OPERATIVO,,,,,,
13.0,LRH490,REPARAR FURGÓN (OPERACIÓN NEWSAN),,,,OPERATIVO,,,,,,
14.0,SOH165,PERNO Y BUJE - SE DESARMO LA PUNTA DE EJE - REEMPLAZADO,,,,OPERATIVO,,,,,,
21.0,PEG 324,"SE COLOCO MOTOR Y CAJA, RESTA PUESTA EN MARCHA",,,,OPERATIVO,,,,,,
24.0,MSK494,CAMBIAR UNA CUBIERTA - CARGADO (OPERACIÓN MINERA),,,,OPERATIVO,,,,,,
25.0,AD389OH,CAMBIAR DOS CUBIERTAS - CARGADO (OPERACIÓN MINERA),,,,OPERATIVO,,,,,,
,AD 247 HQ,"SE COLOCO OPTICA Y PARRILA DELATERA, SE COLOCO ESPEJO IZQ",,,,OPERATIVO,,,,,,
,AC 880 ST,SE REPARO ESTRIBO IZQ,,,,OPERATIVO,,,,,,
,NUF 9677,SE RETRO PLOTEO DE LAS CABINAS,,,,OPERATIVO,,,,,,
,IBR 542,SE ESTA PINTANDO SIDER,,,,OPERATIVO,,,,,,
,HJG 034,"SEREPARO CAPOT PUNTERO, SE LUSTRO CABINA, SE CAMBIARON BISAGRAS, SE DEBE ENVIAR A DS",,,,OPERATIVO,,,,,,
1.0,LTJ766,REVISAR TURBO (HUMEA) - CARGADO,,,,PENDIENTE,,,,,,
2.0,NTW678,CONTROLAR ELÁSTICOS Y REVISIÓN PARA VTV - LIBERADO,,,,PENDIENTE,,,,,,
7.0,IRG335,REPARAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
9.0,AH402GS,NO SE PRESENTO,,,,PENDIENTE,,,,,,
11.0,NTL576,ELÁSTICOS TRASEROS - REEMPLAZADO,,,,PENDIENTE,,,,,,
12.0,FVF276,"PISO REPARADO, RESTA REPARAR MANGUERAS DE AIRE E INSTALACION ELECTRICA- LIBERADO",,,,PENDIENTE,,,,,,
15.0,MLH643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
16.0,HJG034,REVISIÓN DE MOTOR - SE DEBE ENVIAR A DS,,,,PENDIENTE,,,,,,
16.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,PENDIENTE,,,,,,
17.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
18.0,FNS933,CAMBIAR BATERIAS Y PUESTA EN MARCHA (OPERACIÓN FCA),,,,PENDIENTE,,,,,,
19.0,AG372MF,SE COMIENZA A ARMAR,,,,PENDIENTE,,,,,,
20.0,NTL574,ARMADO DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
22.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
2.0,AF069SE,DEPÓSITO DE AGUA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
3.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
4.0,AG296PQ,AJUSTAR CORREAS Y REPARAR BAJADA DE PARAGOLPE TRASERO IZQUIERDO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
5.0,AH680JT,CAMBIAR ESPEJO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
6.0,AG372ME,"COLOCAR BOCINA, REPARAR ALARGUE Y MOTOR DE PALA - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,
7.0,MLH644,CONTROLAR INYECTORES (HUMEA) - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
