,,PARTE DE NOVEDADES 01/08/2026,NEGLIGENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,UNIDAD,NOVEDADES,Column 4,Column 5,Column 6,ESTADO,OBSERVACIONES,F-I,Column 10,Column 11,Column 12,Column 13,F-T,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,
1.0,CQD 623,SE ESTA REPARANDO EL FURGON  Y PINTANDO ,,,,PEND,SE ESTA REPARANDO INSTALACION ELECTRICA,2026-06-08 00:00:00,,,,,2026-07-31 00:00:00,,,,,,,,,,,,,,,,,
2.0,LTJ 767,CAMBIAR FURGÓN Y COLOCAR LA PALA REEMPLAZADO,,,,PEND,SE PASO A PINTURA,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,
3.0,NDE808,MOTOR EN TALLER DS,,,,PEND,"MOTOR EN TT, HAY QUE LIMPIAR CONTROLAR Y ARMAR",2026-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
4.0,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PEND,REPARACION DE FURGION EN PROCESO,2026-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,
6.0,JBR542,FABRICAR PARANTES FALTANTES,,,,PEND,NO SE PAGO FACTURA DE LOS MATERIAES OC 4071,2026-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
7.0,OGM429,REPARAR ARCOS DEL SEMI - EN VOLTA,,,,PEND,"SEMI EN VOLTA, NO SE PAGO FACTURA DE LOS MATERIAES OC4093",2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
8.0,AE726TT,SE SACO Y DESARMO EL MOTOR. SE ENVIA A LA RECTIFICADORA,,,,PEND,A LA ESPERA DE COTIZACION,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
9.0,AE306ME,ARMADO DE LA UNIDAD,,,,PEND,,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
10.0,AE287JU,ARMADO DE LA UNIDAD,,,,PEND,A LA ESPERA DE REPUESTOS ,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
11.0,MLH644,COLOCAR SOPORTE DEL SOBRE ELASTICO,,,,PEND,,2026-07-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,
12.0,SKP099,REVICION PARA VTV,,,,PEND,EL SEMI NO SE PRESENTO,2026-07-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,
13.0,FNS933,NO ARRANCA CONTROLAR BATERIAS. SE DEBE ENVIAR A DS,,,,PEND,SIN NOVEDAD,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
14.0,AG087ST,INYECTORES Y DEPÓSITO DE UREA,,,,PEND,SE COLOCO DEPOSITO Y LIMPIO CATALIZADOR,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
15.0,OQK433,REVISAR MANGUERA PINCHADA,,,,PEND,,,,,,,,,,,,,,,,,,,,,,,,
16.0,AF069SA,REVISAR LIMPIAPARABRISAS,,,,PEND,SE DEVE ENVIAR POR GARANTIA,,,,,,,,,,,,,,,,,,,,,,,
17.0,AC880ST,FALLA SE APAGO Y NO ARRANCO - SOLICITA AUXILIO,,,,PEND,,,,,,,,,,,,,,,,,,,,,,,,
18.0,HJG034,REVISION PARA VTV,,,,OPE,,,,,,,,,,,,,,,,,,,,,,,,
19.0,NMG568,REVISION PARA VTV,,,,OPE,GUARDO EN VOLTA Y SE QUEDO SIN LUCES,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,LRH492,"FILTRA AGUA EN EL FURGON, SOLDAR BISAGRA",,,,PEND  ING,PENDIENTE DE INGRESO,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
24.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,ESP RES,MOTOR EN BASE TT,2026-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,
25.0,MLM209,SE PARO POR CONSUMO DE ACEITE. REVICION DE MOTOR,,,,PEND  ING,,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
