,,PARTE DE NOVEDADES 24/6/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,Fecha Ingreso,Columna 10,Columna 11,Columna 12,Columna 13,Fecha  salida
1.0,HUT007,ACOMODAR INSTALACIÓN ELÉCTRICA,,,,PENDIENTE,,2026-06-18 00:00:00,,,,,
2,SKP105,LUCES - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
3,MLM206,CILINDRO DE PALA - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
4,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,,
5,IRG339,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,,
6,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,PENDIENTE,,2026-06-09 00:00:00,,,,,
7,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
8,CQD 623,SE COMIENZA CON EL ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
9,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
10,OKR273,REPARAR FURGON - REEMPLAZADO,,,,OPERATIVO,,2026-06-18 00:00:00,,,,,
11,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,,,,,,
12,AH680JQ,FALLA (SE LIMITA) SE  REALIZO SERVICE Y LIMPIEZA DEL DEPOSITO DE UREA (SE DEVE ENVIAR A IVECAM EE,,,,PENDIENTE,,,,,,,
13,AG449BB,"CONTROLAR ALARGUES DE ARCOS, DEVE TENER EN TOTAL 4,00 MTS. REGULAR FRENOS",,,,OPERATIVO,,,,,,,
14,AG160LE,RUEDA PINCHADA - EN GOMERIA - CARGADO CON NEWSAN,,,,OPERATIVO,,2026-06-24 00:00:00,,,,,2026-06-24 00:00:00
15,MLM209,SE REPARO SOPORTE DE LA CAJA,,,,OPERATIVO,,2026-06-24 00:00:00,,,,,24/062026
16.0,AG087SP,CAMBIO DE PARAGOLPE DELANTERO - CITADO 11:30,,,,OPERATIVO,,,,,,,
17.0,OGQ096,COMPRESOR - CITADO 11HS,,,,PENDIENTE,,2026-06-24 00:00:00,,,,,
