,,PARTE DE NOVEDADES 29/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,IOK295,REVISAR FALLA (SIN FUERZA) Y GUÍA DE PALA - CITADO 12HS,,,,OPERATIVO,,,,,,
3.0,OQK433,COMANDO DE PALA - CITADO 9HS,,,,OPERATIVO,,,,,,
5.0,MLH644,PUENTE DE CARDAN - CARGADO - CITADO 12HS,,,,OPERATIVO,,,,,,
9.0,LTJ766,REVISAR INYECTORES - SIGUE DE VIAJE,,,,OPERATIVO,,,,,,
10.0,IOK 286,REVISIÓN PARA VTV - REEMPLAZADO,,,,OPERATIVO,,,,,,
12.0,JEG049,REVISIÓN PARA VTV - REEMPLAZADO,,,,OPERATIVO,,,,,,
,AAZ 238,SE REPARO PISO DE FURGON,,,,OPERATIVO,,,,,,
,OJW 761,SE REPARO PISO DE FURGON,,,,OPERATIVO,,,,,,
,NWC 197,SE CAMBIO BORNE DE BATERIA,,,,OPERATIVO,,,,,,
,AI 087 AK,"SE SOLDARON LOS BVULONES DE LA PUERTA, SE REUBICO PERNO",,,,OPERATIVO,,,,,,
,AG 449 BA,SE REPARO PARANTE Y PUERTA,,,,OPERATIVO,,,,,,
,PGX 013,"SE CAMBIO EXTREMO DE BARRRA LARGA, OPERATIVO PARA VTV",,,,OPERATIVO,,,,,,
,SOH 165,SE REPARO LUCES EN GENERAL Y SE SELLO CAPOT,,,,OPERATIVO,,,,,,
2.0,OHH650,RUEDA PINCHADA Y REGULAR FRENOS - CITADO 12HS,,,,PENDIENTE,,,,,,
4.0,MLM206,REPARAR VENTANILLA Y REVISAR LUCES - CITADO 12HS,,,,PENDIENTE,,,,,,
6.0,HJG 034,REVISIÓN DE MOTOR (OPERACIÓN FCA) SE DEBE ENVIAR A DS,,,,TALLERES EXTERNOS,,,,,,
7.0,NTL576,REPARAR ELÁSTICOS - SE LLEVA A ACEROS CIRO - REEMPLAZADO,,,,PENDIENTE,,,,,,
8.0,AC880ST,CARBONES DE PALA - SIGUE DE VIAJE,,,,PENDIENTE,,,,,,
11.0,AG087SS,BOMBA DE AGUA - CARGADO EN METÁN (OPERACIÓN FCA),,,,TALLERES EXTERNOS,,,,,,
13.0,AE267NR,VACIAR CATALIZADOR (OPERACIÓN ECOMMERCE),,,,PENDIENTE,,,,,,
14.0,LRH490,REPARAR FURGÓN (OPERACIÓN NEWSAN),,,,PENDIENTE,,,,,,
15.0,IRG335,REPARAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
16.0,NTW678,CONTROLAR ELÁSTICOS Y REVISIÓN PARA VTV - REEMPLAZADO,,,,SOH 165,,,,,,
17.0,FVF276,REPARAR MANGUERAS DE AIRE E INSTALACION ELECTRICA- LIBERADO,,,,PENDIENTE,,,,,,
18.0,MLH643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
19.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,PENDIENTE,,,,,,
20.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
21.0,FNS933,CAMBIAR BATERIAS Y PUESTA EN MARCHA (OPERACIÓN FCA),,,,PENDIENTE,,,,,,
22.0,AG372MF,MOTOR - EN PROCESO DE ARMADO (OPERACIÓN ALSEA),,,,PENDIENTE,,,,,,
23.0,NTL574,ARMADO DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,
24.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE,,,,,,
25.0,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
2.0,AF069SE,DEPÓSITO DE AGUA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
3.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
4.0,AB665RP,TAMBOR DE ARRANQUE  - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
5.0,AH402HG,CAMBIAR CACHA DE ESPEJO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
6.0,AG227UB,"CONTROLAR INYECTORES, REVISAR FRENOS Y REALIZAR SERVICE (OPERACIÓN LA ANONIMA)",,,,PENDIENTE DE INGRESO,,,,,,
7.0,AA053EY,"REVISAR FRENOS, LUCES, CUBIERTAS, VEJIGA Y CONTROLAR ARCOS (OPERACIÓN LA ANONIMA)",,,,PENDIENTE DE INGRESO,,,,,,
8.0,AG296PP,LUCES - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
9.0,NTL575,REVISAR ELÁSTICOS Y LUCES - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
10.0,AF590MQ,"REUBICAR PLATO, CONTROLAR LUCES, CUBIERTAS Y ALTERNADOR (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,
11.0,NKX984,"CONTROLAR EJE NEUMÁTICO, CUBIERTAS, CHASIS RAJADO Y LUCES (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,IRZ953,"FALLA ELECTRICA, EN IVECAM ESTEBAN ECHEVERRIA - REEMPLAZADO",,,,TALLERES EXTERNOS,,,,,,
2.0,AD741ZO,REVISIÓN DE MOTOR (OPERACIÓN ARCOR) - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,,,,,,
3.0,NDE808,MOTOR - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,,,,,,
4.0,AG087SP,COLOCAR PALA - EN TALLER DOCK SUD (OPERACIÓN ALSEA),,,,TALLERES EXTERNOS,,,,,,
5.0,AF069SA,FALLA - EN TALLER IVECAM SAN MARTIN - REEMPLAZADO,,,,TALLERES EXTERNOS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,12:10:00,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,12:07:00,,,,
