,,PARTE DE NOVEDADES 30/6/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
1.0,SKP105,LUCES - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
2,MLM206,SE ESTA REPARANDO LOS CILINDROS DE LA PALA - REEMPLAZADO,,,,PENDIENTE,,2026-06-17 00:00:00,,,,,
3,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,,
4,IRG339,REVISIÓN DE MOTOR - REEMPLAZADO,,,,PENDIENTE,,,,,,,
5,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,PENDIENTE,,2026-06-09 00:00:00,,,,,
6,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
7,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
8,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
9,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,,,,,,
10,IOK295,PALA Y LIMPIAPARABRISAS - LIBERADO,,,,OPERATIVO,,,,,,,
11,AG087SP,"PARAGOLPE DELANTERO, LUCES, LEVANTAVIDRIOS, GUIA DE BARRA Y BARRAL - REEMPLAZADO",,,,PENDIENTE,,,,,,,
12,IRG318,"REVISAR LUCES, DIRECCIÓN, FRENOS, Y MANIJA DE PUERTA EXTERIOR NO ABRE - REEMPLAZADO",,,,PENDIENTE,,,,,,,
13,JEG049,PALA (SE BAJA) Y REVISAR FALLA (SE APAGA) - REEMPLAZADO,,,,PENDIENTE,,,,,,,
14,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,,,,,,,,,
15,AF034CM,ELÁSTICOS - SE DEBE ENVIAR A ACEROS CIRO,,,,OPERATIVO,,2026-06-29 00:00:00,,,,,,,,
16,LRH491,"REPARAR PALA, PUERTA DE FURGÓN Y CAMBIAR PARABRISAS - REEMPLAZADO",,,,PENDIENTE,,2026-06-27 00:00:00,,,,,
17,NUS780,PUERTA LADO CHOFER,,,,PENDIENTE,,,,,,,
18,AB665RO,"REVISAR PERDIDA DE AIRE, Y BLOQUEO - CITADO 10HS",,,,OPERATIVO,,,,,,,
19, AF948RW,RUEDA PINCHADA,,,,,,,,,,,
20,AC880SQ ,REVISAR DIRECCION HIDRAULICA,,,,OPERATIVO,,,,,,,
21,AF848GD,RUEDA PINCHADA,,,,OPERATIVO,,,,,,,
22,NKX984,REVISAR LUCES DE SEMI - (OPRECION FCA),,,,OPERATIVO,,,,,,,
23,AF033CX,REVISION PARA VIAJE A MINERA (OPERACIÓN FCA),,,,OPERATIVO,,,,,,,
24,NTL575,REPARAR MOTOR DE PALA - CITADO 10HS,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,,
2,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,,
3.0,LRH492,"REPARAR PUERTAS DE FURGÓN, SE FILTRA AGUA Y REVISAR EMBRAGUE - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
4.0,IRG335,REPARAR FURGÓN - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
6.0,AF033CX,REVISAR PARA SUBIR A MINERA - OPERACION FCA,,,,PENDIENTE DE INGRESO,,,,,,,
7.0,AG372ME,NIVELAR PALA Y REVISAR BOCINA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
8.0,MLH644,REVISAR ELÁSTICOS TRASEROS Y BUJES DELANTEROS - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
9.0,NWC197,REVISAR EMBRAGUE Y PALA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,AD741ZO,REVISIÓN DE MOTOR (OPERACIÓN ARCOR) - EN TALLER DS,,,,TALLERES EXTERNOS,,,,,,,
2,HJG034,REVISIÓN DE MOTOR (OPERACIÓN FCA) EN TALLER DS,,,,TALLERES EXTERNOS,,,,,,,
3,AD998JM,FALLA (SE LIMITA)  - EN COLCAR,,,,TALLERES EXTERNOS,,,,,,,
