,,PARTE DE NOVEDADES 27/07/2026,NEGLIGENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nº,UNIDAD,NOVEDADES,Column 4,Column 5,Column 6,ESTADO,OBSERVACIONES,F-I,Column 10,Column 11,Column 12,Column 13,F-T,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16,
8.0,OGI195,REVISION PARA VTV -,,,,OPE,"TRACTOR OK,FALTA CONTROLAR SEMI",2026-07-21 00:00:00,,,,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,
16.0,AD959RL,SIN FUERZA,,,,OPE,,2026-07-24 00:00:00,,,,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,
17.0,PGX013,DESMONTAR LA CAJA SE ENVIA A DS,,,,OPE,SE VACIO CATALIZADOR,2026-07-23 00:00:00,,,,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,
19.0,AD959RK,CMBIAR RADIADOR,,,,OPE,Y SE VACIO CATALIZADOR,2026-07-24 00:00:00,,,,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,
20.0,AH387QF,REVICION PARA VTV,,,,OPE,,2026-07-24 00:00:00,,,,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,
21.0,AH387QJ,REVICION PARA VTV,,,,OPE,,2026-07-24 00:00:00,,,,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,
27.0,AD998JP,"CONTROLAR PERDIDA DE AGUA, PERDIDA DE ACEITE DE PALA",,,,OPE,,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
30.0,NTL576,CONTROLAR UNIDAD (SIN FUERZA),,,,OPE,,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
39.0,AB665RP,"RUEDA PINCHADA, CONTROLAR BORNES ",,,,OPE,,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2.0,CQD 623,SE ESTA REPARANDO EL FURGON  Y PINTANDO ,,,,PEND,FALTA COLOCAR FAROLES,2026-06-08 00:00:00,,,,,2026-07-31 00:00:00,,,,,,,,,,,,,,,,,
3.0,LTJ 767,CAMBIAR FURGÓN Y COLOCAR LA PALA REEMPLAZADO,,,,PEND,PINTANDO FURGON Y COLOCANDO PALA,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,
4.0,NDE808,MOTOR EN TALLER DS,,,,PEND,"MOTOR EN TT, HAY QUE LIMPIAR CONTROLAR Y ARMAR",2026-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
6.0,NMG568, REVISIÓN GENERAL PARA VTV (OPERACIÓN FCA),,,,PEND,EN PROCESO,2026-06-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,
7.0,JBR542,FABRICAR PARANTES FALTANTES,,,,PEND,NO SE PAGO FACTURA DE LOS MATERIAES OC 4071,2026-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,
9.0,OGM429,REPARAR ARCOS DEL SEMI - EN VOLTA,,,,PEND,"SEMI EN VOLTA, NO SE PAGO FACTURA DE LOS MATERIAES OC4093",2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
10.0,AE726TT,SE SACO Y DESARMO EL MOTOR. SE ENVIA A LA RECTIFICADORA,,,,PEND,A LA ESPERA DE COTIZACION,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
11.0,AE306ME,ARMADO DE LA UNIDAD,,,,PEND,,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
12.0,AE2871JU,ARMADO DE LA UNIDAD,,,,PEND,A LA ESPERA DE REPUESTOS ,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,
14.0,OIL690,REVISION PARA VTV ,,,,PEND,"A LA ESPERA DE CAMBIO DE GRAMPA DE ELASTICO, REPUESTO MAL PEDIDO",2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
15.0,MHS457,REVISAR FURGON (CRUZADO) - SE ENVIA AL ELASTIQUERO - A LA ESPERA DE PRESUPUESTO,,,,PEND,A LA ESPERA DE DESICION,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
18.0,LRH492,"FILTRA AGUA EN EL FURGON, SOLDAR BISAGRA",,,,PEND,,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,
22.0,AE281JT,"PARAGOLPE DELANTERO, GUARDABARROS Y SIN FUERZA",,,,PEND,FALTA COLOCAR GUARDABARROS,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
23.0,MLM209,SE PARO POR CONSUMO DE ACEITE. REVICION DE MOTOR,,,,PEND,,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
24.0,JEG049,SE LIMPIO EL CIRCUITO DE GAS OIL RESTA VACIAR EL TANQUE. ,,,,PEND,FALTA VACIAR EL TANQUE,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
25.0,AG227UA,MOTOR EN REVISION. SE DEBE ENVIAR A DS ,,,,PEND,SE ENVIA A DS 28/7,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
26.0,FNS933,NO ARRANCA CONTROLAR BATERIAS. SE DEBE ENVIAR A DS,,,,PEND,SIN NOVEDAD,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
28.0,AG087ST,INYECTORES Y DEPÓSITO DE UREA,,,,PEND,A LA ESPERA DEL DEPOSITO DE UREA,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
29.0,IRG318,REVISAR CAJA DE CAMBIOS (NO FUNCIONA LA MARCHA ATRAS) ,,,,PEND,HAY QUE DESARMAR LA CAJA,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,
31.0,AF658QW,"CONTROLAR LUCES, SIN FUERZA, PULMON PINCHADO ",,,,PEND,"FALTA CAMBIAR SENSOR DE VACIO, EL CUAL LLEGO 19:15 DE DS",2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
32.0,AB612RD,CONTROLAR PERDIDA DE ACEITE DE PALA,,,,PEND,RESTA REPARAR CILINDRO,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
33.0,AF833CZ,SERVICIO COMPLETO,,,,PEND,SIN NOVEDAD,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
34.0,AG504NC,"REARAR PUERTA DERECHA, CONTROLAR CUBIERTAS",,,,PEND,NO HAY CUBIERTAS,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
35.0,LWX063,CONTROLAR FALLA ,,,,PEND,SIN NOVEDAD,2026-07-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,
36.0,AF833CX,REVISAR FRENOS Y LUCES(OPERACION FCA SUBE A MINERA),,,,PEND,SIN NOVEDAD,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
37.0,MSK500,REVISAR FRENOS Y LUCES(OPERACION FCA SUBE A MINERA),,,,PEND,SIN NOVEDAD,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
38.0,AB542MU,REVICION PARA VTV,,,,PEND,"BAJADA DE PARAGOLPE, RE REGULO FRENO, FALTA CONTROLAR LUCES, OPERATIVO MAÑANA 10 HS",2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
40.0,AF069SE,REALIZAR SERVICIO COMPLETO,,,,PEND,CAMION NO SE PRESENTO,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
41.0,OGQ096,REVICION PARA VTV,,,,PEND,CAMION NO SE PRESENTO,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
42.0,FVF276,REVICION PARA VTV,,,,PEND,CAMION NO SE PRESENTO,2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
43.0,AF587YG,CONTROLAR CAMION CHOCADO EN VOLTA,,,,PEND,"UNIDAD SINIETRADA,ALGUNOS REPUESTOS LLEGARON 19:15",2026-07-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,
13.0,AH680JS ,"FALLA SE LIMPIO EL DEPOSITO DE UREA, CAMBIO EL FILTRO. SIGUE SIN FUERZA",,,,T EXT,A LA ESPERA DE NOVEDADES,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,
1.0,AF069SA,FALLA SE LLEVO POR GARANTIA (IVECAM SM),,,,T EXT,,2026-07-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,
1.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,ESP RES,Motor llega 28/7. en Rect.,2026-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,
5.0,OBI942,SE ESTA REPARANDO EL FURGON ,,,,ESP RES,REPARACION DE FURGION EN PROCESO,2026-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,SOH165,REPARAR FURGON - EN BASE,,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
2.0,LRH491,REPARAR FURGON  - EN BASE,,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
3.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA) - EN BASE",,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
4.0,IRG335,REPARAR FURGÓN  - EN REPARTO,,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
5.0,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR) - EN BASE,,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
6.0,MSK508,"SOLDAR PUERTA TRASERA,EJE NEUMATICO,LUCES, CAMBIAR CUBIERTAS- ( EN VOLTA )",,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
7.0,NJI342,"REPARAR ARCOS,REVISION PARA VTV (OPERACION FCA) - EN BASE",,,,PEND  ING,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
