,,PARTE DE NOVEDADES 14/4/26,,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,fecha Inicio,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
2.0,IRG318,"LEVANTA TEMPERATURA, PUERTA CHOFER NO CIERRA Y COLOCAR CHAPON PUENTE",,,,OPERATIVO,,,,,,
4.0,NUS780,CILINDROS DE PALA - REEMPLAZADO,,,,OPERATIVO,,,,,,
7.0,AE939YF,REVISAR PÉRDIDA DE LIQ DE PALA Y REUBICARLA (OPERACIÓN ALSEA),,,,OPERATIVO,,,,,,
8.0,OXF874,REPARAR INTERIOR DEL SEMI Y CONTROLAR TANQUE DE GASOIL,,,,OPERATIVO,,,,,,
9.0,AB542MU,"BUTACA CHOFER, FRENOS, RELOJ DE TEMPERATURA Y VELOCÍMETRO",,,,OPERATIVO,,,,,,
14.0,AB665RR,INYECTORES,,,,OPERATIVO,,,,,,
18.0,NJC447,MANIJA LEVANTAVIDRIO Y LUCES,,,,OPERATIVO,,,,,,
19.0,IRG335,REGULAR FRENOS,,,,OPERATIVO,,,,,,
22.0,OJE341,CONTROLAR FLUIDOS,,,,OPERATIVO,,,,,,
38.0,KIE 625,SE CAMBIUÓ CABLE DE TRYLER ,,,,OPERATIVO,,,,,,
39.0,PGI 662,SE REPARÓ LATERAL´,,,,OPERATIVO,,,,,,
40.0,AB 612 RD,SE REGULÓ FRENOS,,,,OPERATIVO,,,,,,
,AG 302 VA,SE REPARÓ LATERAL Y CELLÓ TECHO DEL FURGÓN,,,,OPERATIVO,,,,,,
,AD 959 RK,SE CAMBIARON CUBIERTAS DELANTERAS Y CAMBIÓ DE CORREA POLIVE,,,,OPERATIVO,,,,,,
,AB 069 SA,SE REPARÓ BARRAL ,,,,OPERATIVO,,,,,,
,AC 880 SQ,SE CAMBIARON CUBIERTAS DELANTERAS Y SE SOPLETEO RADIADOR ,,,,OPERATIVO,,,,,,
,AF 848 GD,"SE REPARÓ LUCES, SE CAMBIÓ CUBIERTAS TRASERAS LADO DERECHO ",,,,OPERATIVO,,,,,,
,CLARCK ,SE CAMBIO MANGUERA DE DIRECCION Y SE AGREGÓ ACEITE HIDRAULICO ,,,,OPERATIVO,,,,,,
,IRG 335,SE REPARÓ MOTÓR DE PALA,,,,OPERATIVO,,,,,,
,LVC 297,SE CAMIÓ CAJA DE COMANDO DE PALA,,,,OPERATIVO,,,,,,
,OHH 650,SE REPARÓ CONTROL DE PALA,,,,OPERATIVO,,,,,,
,TDP 402,SE REPARÓ INTERIOR DE FURGÓN ,,,,OPERATIVO,,,,,,
,NTW 678,SE REPARÓ PALA,,,,OPERATIVO,,,,,,
,AF 975 OU,SE NIVELÓ PALA Y REPARÓ TRABAS DE PUERTA FURGÓN ,,,,OPERATIVO,,,,,,
,MLM 209 ,SE LIMPIÓ CIRCUITO HIDRAULICO Y BANCO ,,,,OPERATIVO,,,,,,,,
1.0,OGQ099,INYECTORES (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,
3.0,IRG339,SOPLÓ JUNTA DE TAPA DE CILINDROS,,,,PENDIENTE,,,,,,
5.0,MSK494,REVISAR ELÁSTICOS (OPERACIÓN FCA),,,,A LA ESPERA DE REPUESTOS,,,,,,
6.0,OMG249,MAZA DE PRIMER EJE (OPERACIÓN LA ANONIMA),,,,A LA ESPERA DE REPUESTOS,,,,,,
