,,PARTE DE NOVEDADES 26/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,AF187HE,PULMÓN PINCHADO - CITADO 5HS,,,,CITADO,,,,,,
2.0,PGX013,MANGUERAS RULO - CITADO 7HS,,,,CITADO,,,,,,
3.0,IOK286,REVISIÓN PARA VTV - LIBERADO,,,,,,,,,,
4.0,AC880SX,INYECTORES - REEMPLAZADO,,,,,,,,,,
5.0,NUS780,"PUERTA Y ESPEJO IZQ, PÉRDIDA DE AGUA, CARTER RAJADO Y AJUSTAR PARRILLA - LIBERADO",,,,,,,,,,
6.0,LRH490,REPARAR FURGÓN (OPERACIÓN NEWSAN),,,,,,,,,,
7.0,NUF969,CAMBIAR BATERIAS,,,,,,,,,,
8.0,IOK295,REVISAR FALLA (SIN FUERZA) - LIBERADO,,,,,,,,,,
9.0,AF948RW,REVISIÓN PARA VTV - LIBERADO,,,,,,,,,,
10.0,HJG 034,REVISIÓN DE MOTOR (OPERACIÓN FCA) SE DEBE ENVIAR A DS,,,,,,,,,,
11.0,LTJ766,REVISAR TURBO (HUMEA) - CARGADO,,,,,,,,,,
12.0,NTW678,CONTROLAR ELÁSTICOS Y REVISIÓN PARA VTV - REEMPLAZADO,,,,,,,,,,
13.0,IRG335,REPARAR FURGÓN - REEMPLAZADO,,,,,,,,,,
14.0,NTL576,ELÁSTICOS TRASEROS - REEMPLAZADO,,,,,,,,,,
15.0,FVF276,REPARAR MANGUERAS DE AIRE E INSTALACION ELECTRICA- LIBERADO,,,,,,,,,,
16.0,MLH643,REVISIÓN DE MOTOR - REEMPLAZADO,,,,,,,,,,
17.0,HJG034,REVISIÓN DE MOTOR - SE DEBE ENVIAR A DS,,,,,,,,,,
18.0,CQD 623,SE ENVIO MOTOR A RECTIFICADORA,,,,,,,,,,
19.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,,,,,,,
20.0,FNS933,CAMBIAR BATERIAS Y PUESTA EN MARCHA (OPERACIÓN FCA),,,,,,,,,,
21.0,AG372MF,MOTOR - EN PROCESO DE ARMADO (OPERACIÓN ALSEA),,,,,,,,,,
22.0,NTL574,ARMADO DE MOTOR - REEMPLAZADO,,,,,,,,,,
23.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,,,,,,,
24.0,AG372ME,PALA NO FUNCIONA - CARGADO EN VILLAREAL,,,,,,,,,,
25.0,AH680JT,CAMBIAR ESPEJO - LIBERADO,,,,,,,,,,
26.0,IOK288,REPARAR PISO DE FURGÓN - REEMPLAZADO,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1.0,NJI342,REVISION PARA VTV (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
2.0,AF069SE,DEPÓSITO DE AGUA - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
3.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,
4.0,AG296PQ,AJUSTAR CORREAS Y REPARAR BAJADA DE PARAGOLPE TRASERO IZQUIERDO - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,
5.0,AH402GS,REPARAR PARAGOLPE Y ÓPTICA DELANTERA (OPERACIÓN BLANCA LUNA),,,,PENDIENTE DE INGRESO,,,,,,
