,,PARTE DE NOVEDADES 04/07/26,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
1.0,SKP105,LUCES - REEMPLAZADO,,,,OPERATIVO,,2026-06-17 00:00:00,,,,,
2.0,MLM206,SE ESTA REPARANDO CILINDRO DE PALA - Y FAROS TRASEROS REEMPLAZADO,,,,OPERATIVO,,2026-06-17 00:00:00,,,,,
10.0,IRG318,"REVISAR LUCES, DIRECCIÓN, FRENOS, SE ENVIO A ACEROS CIRO - REEMPLAZADO ",,,,OPERATIVO,,,,,,,
12.0,AF033CX,REVISION DE MOTOR - FALLA SE  CAMBIAR TURBO E INYECTORES,,,,OPERATIVO,,2026-07-02 00:00:00,,,,,2026-07-04 00:00:00
15.0,AE867GD,LIMPIEZA DE VALVULA DE SEIS VIAS Y GOBERNADORA,,,,OPERATIVO,,,,,,,
16.0,HJG034,REVISION PARA VTV,,,,OPERATIVO,,2026-07-03 00:00:00,,,,,2026-07-04 00:00:00
17.0,NTL575,REPARAR ESTRIBO Y COLOCAR PANEL DE PUERTA,,,,OPERATIVO,,,,,,,
18.0,KYM507,REVISAR CARBONES DE PALA,,,,OPERATIVO,,,,,,,
,AG372ME,SE VACIO EL CATALIZADOR Y CONTROLO EL TURBO,,,,OPERATIVO,,,,,,,
4.0,IOK295,"REPARAR LIMPIAPARABRISAS, AJUSTAR CADENA DE PALA - EN REPARTO",,,,OPERATIVO,,,,,,,
6.0,AG133JF,"REVISAR LEVANTAVIDRIOS, LUCES - EN REPARTO",,,,OPERATIVO,,,,,,,
5.0,NTL576,REPARACION DE ELASTICO  - EN ACERO CIRO,,,,OPERATIVO,,,,,,,
6.0,IOK288,REPARACION DE ELASTICO  - EN ACERO CIRO,,,,OPERATIVO,,,,,,,
3.0,PFK197,REPARAR PISO DE FURGÓN (OPERACIÓN ARCOR),,,,PENDIENTE,,,,,,,
4.0,IRG339,SE REALIZA CAMBIO DE AROS Y METALES - REEMPLAZADO,,,,PENDIENTE,,2026-07-02 00:00:00,,,,,
5.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,
6.0,CQD 623,ARMADO DEL MOTOR,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,
7.0,LTJ 767,CAMBIAR FURGÓN - REEMPLAZADO,,,,PENDIENTE,,,,,,,
8.0,NJI342,REVISION PARA VTV,,,,PENDIENTE,,,,,,,
9.0,AG087SP,"PARAGOLPE DELANTERO, LUCES, LEVANTAVIDRIOS - REEMPLAZADO",,,,PENDIENTE,,,,,,,
11.0,NDE808,MOTOR SE DEVE ENVIAR A DS,,,,PENDIENTE,,,,,,,
13.0,AC794PQ,REVISION PARA VTV SE DEVE CANVIAR LA CAMA DEL PLATO,,,,PENDIENTE,,,,,,,
14.0,PGX013,REPARAR  EMBRAGUE  - EN BURZACO,,,,PENDIENTE,,,,,,,
19.0,MYH381,REPARACION DE PISO Y FURGON,,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.0,NMG568,REPARAR ARCOS Y REVISIÓN GENERAL (OPERACIÓN FCA),,,,PENDIENTE DE INGRESO,,,,,,,
2.0,PGI661,"REPARAR PISO, LONA Y PUERTA TRASERA (OPERACIÓN FCA)",,,,PENDIENTE DE INGRESO,,,,,,,
3.0,IRG335,REPARAR FURGÓN - EN REPARTO,,,,PENDIENTE DE INGRESO,,,,,,,
5.0,AF069SE,"CONTROLAR FALLA,PEPARAR PARAGOLPE TRASERO Y LEVANTAVIDRIO - EN REPARTO",,,,PENDIENTE DE INGRESO,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3.0,AD998JM,FALLA (SE LIMITA)  - EN COLCAR,,,,TALLERES EXTERNOS,,,,,,,
4.0,AH680JQ,FALLA (SE LIMITA) - EN TALLER IVECAM EE,,,,TALLERES EXTERNOS,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:10:00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,12:07:00,,,,,
