,,PARTE DE NOVEDADES 13/5/26,NEGLIGENCIAS,,,,,,,,,
ID,Patente,Detalle,Responsable,Situación Actual,Observaciones,Estado,NEGL.,fecha Final,Columna 10,Columna 11,Columna 12,Columna 13
1.0,NUS780,REVISAR RUEDA TRASERA Y REGULAR FRENOS - CITADO 11HS,,,,OPERATIVO,,,,,,
2.0,LRH491,MODIFICAR GANCHOS DE PALA - CITADO 12HS,,,,OPERATIVO,,,,,,
3.0,OQK433,PALA (NO FUNCIONA) - CITADO 9HS,,,,OPERATIVO,,,,,,
4.0,IRG318,SE ENVIO A COPACABANA,,,,OPERATIVO,,,,,,
5.0,AH079LM,PALA (NO FUNCIONA) - CITADO 12HS,,,,OPERATIVO,,,,,,
6.0,AF833CX,FRENO MOTOR (OPERACIÓN FCA),,,,OPERATIVO,,,,,,
7.0,MSK500,"FRENOS, LUCES Y REPARAR LONA (OPERACIÓN FCA)",,,,OPERATIVO,,,,,,
8.0,AG504NC,TECLA DE EJE NEUMÁTICO Y CONTROLAR CUBIERTAS (OPERACIÓN FCA),,,,OPERATIVO,,,,,,
9.0,AG 087 SP,EN TALLER DOCK SUD CAMBIO DE CABINA (OPERACIÓN ALSEA),,,,OPERATIVO,,,,,,
10.0,AD 998 JL,"LIMPIEZA DE CIRCUTO DE PALA,CAMBIO DE BOBINA DE ELEVACION",,,,OPERATIVO,,,,,,
11.0,AF 948 RV,"CMBIO DE JOYSTICK DE PALA,CAMBIO DE AUTOMATICODE MOTOR",,,,OPERATIVO,,,,,,
12.0,AH 079 LM,REPARACION DE PERDIDA DE ACEITE ,,,,OPERATIVO,,,,,,
13.0,LRH 491 ,SE REPARO CONTROL DE PALA,,,,OPERATIVO,,,,,,
14.0,AC 880 SQ,"CAMBIO DE MOTOR DE PALA,CAMBIO DE CABLE COMANDO",,,,OPERATIVO,,,,,,
15.0,MBB 269,SE COLOCO SOPORTE PARA RUEDA DE AUXILIO,,,,OPERATIVO,,,,,,
16.0,KPM 587,SE REPARO PARANTES IZQ,,,,OPERATIVO,,,,,,
17.0,AF069 SE,SE SACO ESPEJO Y SACO VENTILETE DE LADO DERECHO,,,,OPERATIVO,,,,,,
18.0,OJE 341,SE CAMBIO ESPEJO DE LADO DERECHO,,,,OPERATIVO,,,,,,
19.0,NTL 575,SE REPARARON FAROS TRASEROS Y LUCES ENGENERAL,,,,OPERATIVO,,,,,,
